key,title,authors,journal,year,abstract,doi,url,pmid,notes
32479165,Transparent Reporting of Multivariable Prediction Models in Journal and Conference Abstracts: TRIPOD for Abstracts.,Heus Pauline; Reitsma Johannes B; Collins Gary S; Damen Johanna A A G; Scholten Rob J P M; Altman Douglas G,Annals of internal medicine,2020,"Clear and informative reporting in titles and abstracts is essential to help readers and reviewers identify potentially relevant studies and decide whether to read the full text. Although the TRIPOD (Transparent Reporting of a multivariable prediction model for Individual Prognosis Or Diagnosis) statement provides general recommendations for reporting titles and abstracts, more detailed guidance seems to be desirable. The authors present TRIPOD for Abstracts, a checklist and corresponding guidance for reporting prediction model studies in abstracts. A list of 32 potentially relevant items was the starting point for a modified Delphi procedure involving 110 experts, of whom 71 (65%) participated in the web-based survey. After 2 Delphi rounds, the experts agreed on 21 items as being essentia",10.7326/M20-0193,https://pubmed.ncbi.nlm.nih.gov/32479165/,32479165,triPod_AI_era=pre-2024 | overall_calib=1 | subgroup_interval=1 | dual_overlap=1
38783054,Individualized prediction models in ADHD: a systematic review and meta-regression.,Salazar de Pablo Gonzalo; Iniesta Raquel; Bellato Alessio; Caye Arthur; Dobrosavljevic Maja; Parlatini Valeria,Molecular psychiatry,2024,"There have been increasing efforts to develop prediction models supporting personalised detection, prediction, or treatment of ADHD. We overviewed the current status of prediction science in ADHD by: (1) systematically reviewing and appraising available prediction models; (2) quantitatively assessing factors impacting the performance of published models. We did a PRISMA/CHARMS/TRIPOD-compliant systematic review (PROSPERO: CRD42023387502), searching, until 20/12/2023, studies reporting internally and/or externally validated diagnostic/prognostic/treatment-response prediction models in ADHD. Using meta-regressions, we explored the impact of factors affecting the area under the curve (AUC) of the models. We assessed the study risk of bias with the Prediction Model Risk of Bias Assessment Tool",10.1038/s41380-024-02606-5,https://pubmed.ncbi.nlm.nih.gov/38783054/,38783054,triPod_AI_era=2024-2025 | overall_calib=0 | subgroup_interval=0 | dual_overlap=1
41473241,Development and external validation of machine-learning based models to predict diabetic foot ulcer in diabetes population.,Zhang Yanji; Tian Yingying; Jian Yang; Wei Zairong; Cai Silang; Zhang Gaofengi,Frontiers in endocrinology,2025,"Diabetic foot ulcer (DFU) is a common and serious complication in patients with diabetes, which affects the quality of life greatly as well as brings high risk for mortality. Identification of high-risk individuals, as early as possible is important for efficient intervention and prevention. This study systematically evaluates and summarizes the diagnostic accuracy of machine learning approaches for predicting DFU risk in diabetic patients.",10.3389/fendo.2025.1692917,https://pubmed.ncbi.nlm.nih.gov/41473241/,41473241,triPod_AI_era=2024-2025 | overall_calib=1 | subgroup_interval=0 | dual_overlap=0
40620096,A practical guide for nephrologist peer reviewers: evaluating artificial intelligence and machine learning research in nephrology.,Wang Yanni; Cheungpasitporn Wisit; Ali Hatem; Qing Jianbo; Thongprayoon Charat; Kaewput Wisit,Renal failure,2025,"Artificial intelligence (AI) and machine learning (ML) are transforming nephrology by enhancing diagnosis, risk prediction, and treatment optimization for conditions such as acute kidney injury (AKI) and chronic kidney disease (CKD). AI-driven models utilize diverse datasets-including electronic health records, imaging, and biomarkers-to improve clinical decision-making. Applications such as convolutional neural networks for kidney biopsy interpretation, and predictive modeling for renal replacement therapies underscore AI's potential. Nonetheless, challenges including data quality, limited external validation, algorithmic bias, and poor interpretability constrain the clinical reliability of AI/ML models. To address these issues, this article offers a structured framework for nephrologist ",10.1080/0886022X.2025.2513002,https://pubmed.ncbi.nlm.nih.gov/40620096/,40620096,triPod_AI_era=2024-2025 | overall_calib=1 | subgroup_interval=0 | dual_overlap=0
36750236,Transparent reporting of multivariable prediction models developed or validated using clustered data (TRIPOD-Cluster): explanation and elaboration.,Debray Thomas P A; Collins Gary S; Riley Richard D; Snell Kym I E; Van Calster Ben; Reitsma Johannes B,BMJ (Clinical research ed.),2023,"The TRIPOD-Cluster (transparent reporting of multivariable prediction models developed or validated using clustered data) statement comprises a 19 item checklist, which aims to improve the reporting of studies developing or validating a prediction model in clustered data, such as individual participant data meta-analyses (clustering by study) and electronic health records (clustering by practice or hospital). This explanation and elaboration document describes the rationale; clarifies the meaning of each item; and discusses why transparent reporting is important, with a view to assessing risk of bias and clinical usefulness of the prediction model. Each checklist item of the TRIPOD-Cluster statement is explained in detail and accompanied by published examples of good reporting. The documen",10.1136/bmj-2022-071058,https://pubmed.ncbi.nlm.nih.gov/36750236/,36750236,triPod_AI_era=pre-2024 | overall_calib=0 | subgroup_interval=1 | dual_overlap=1
38226447,Systematic review of machine-learning models in orthopaedic trauma.,Dijkstra Hidde; van de Kuit Anouk; de Groot Tom M; Canta Olga; Groot Olivier Q; Oosterhoff Jacobien H,Bone & joint open,2024,"Machine-learning (ML) prediction models in orthopaedic trauma hold great promise in assisting clinicians in various tasks, such as personalized risk stratification. However, an overview of current applications and critical appraisal to peer-reviewed guidelines is lacking. The objectives of this study are to 1) provide an overview of current ML prediction models in orthopaedic trauma; 2) evaluate the completeness of reporting following the Transparent Reporting of a multivariable prediction model for Individual Prognosis Or Diagnosis (TRIPOD) statement; and 3) assess the risk of bias following the Prediction model Risk Of Bias Assessment Tool (PROBAST) tool.",10.1302/2633-1462.51.BJO-2023-0095.R1,https://pubmed.ncbi.nlm.nih.gov/38226447/,38226447,triPod_AI_era=2024-2025 | overall_calib=1 | subgroup_interval=0 | dual_overlap=0
40964606,Development of an optimized risk evaluation system for cardiovascular-kidney-metabolic syndrome-associated coronary heart disease based on tabular prior-data fitted network.,Zhu Shidian; Zhang Hui; Liu Yanlin; Bu Wenyu; Wu Qiang; Wang Jin,Digital health,2025,"The innovative concept of cardiovascular-kidney-metabolic (CKM) syndrome and tabular prior-data fitted network (TabPFN) offers opportunities for optimizing coronary heart disease (CHD) risk evaluation. This study compared TabPFN with traditional machine learning (ML) methods in medical small-sample data, aiming to construct and validate a risk model for coronary stenosis in CKM-CHD patients.",10.1177/20552076251379379,https://pubmed.ncbi.nlm.nih.gov/40964606/,40964606,triPod_AI_era=2024-2025 | overall_calib=1 | subgroup_interval=1 | dual_overlap=1
32552702,Early warning score validation methodologies and performance metrics: a systematic review.,Fang Andrew Hao Sen; Lim Wan Tin; Balakrishnan Tharmmambal,BMC medical informatics and decision making,2020,"Early warning scores (EWS) have been developed as clinical prognostication tools to identify acutely deteriorating patients. In the past few years, there has been a proliferation of studies that describe the development and validation of novel machine learning-based EWS. Systematic reviews of published studies which focus on evaluating performance of both well-established and novel EWS have shown conflicting conclusions. A possible reason is the heterogeneity in validation methods applied. In this review, we aim to examine the methodologies and metrics used in studies which perform EWS validation.",10.1186/s12911-020-01144-8,https://pubmed.ncbi.nlm.nih.gov/32552702/,32552702,triPod_AI_era=pre-2024 | overall_calib=0 | subgroup_interval=0 | dual_overlap=0
32278089,Development and validation of early warning score system: A systematic literature review.,Fu Li-Heng; Schwartz Jessica; Moy Amanda; Knaplund Chris; Kang Min-Jeoung; Schnock Kumiko O,Journal of biomedical informatics,2020,"This review aims to: 1) evaluate the quality of model reporting, 2) provide an overview of methodology for developing and validating Early Warning Score Systems (EWSs) for adult patients in acute care settings, and 3) highlight the strengths and limitations of the methodologies, as well as identify future directions for EWS derivation and validation studies.",10.1016/j.jbi.2020.103410,https://pubmed.ncbi.nlm.nih.gov/32278089/,32278089,triPod_AI_era=pre-2024 | overall_calib=1 | subgroup_interval=0 | dual_overlap=1
40059970,Evaluation of prognostic scores in patients with HCC undergoing first-line immunotherapy with atezolizumab and bevacizumab.,Gairing Simon Johannes; Mildenberger Philipp; Gile Jennifer; Artusa Fabian; Scheiner Bernhard; Leyh Catherine,JHEP reports : innovation in hepatology,2025,"Immunotherapy with atezolizumab and bevacizumab (a + b) has improved the prognosis of patients with unresectable hepatocellular carcinoma (HCC). However, the outcome for individual patients is highly variable. This study aimed to (i) develop and validate a prognostic prediction model to estimate individual prognosis and (ii) compare it with established models.",10.1016/j.jhepr.2024.101295,https://pubmed.ncbi.nlm.nih.gov/40059970/,40059970,triPod_AI_era=2024-2025 | overall_calib=1 | subgroup_interval=0 | dual_overlap=0
40604360,Artificial intelligence in surgery research: Successfully implementing AI clinical decision support models.,Choi Jeff,The journal of trauma and acute care surgery,2025,"Artificial intelligence (AI) in surgery literature typically encompasses decision support models that aim to help clinicians make better decisions. Many studies report developing and validating models, yet few models are implemented at the bedside. Exceedingly few models achieve their intended goal upon implementation. While the TRIPOD-AI and DECIDE-AI guidelines outline separate reporting standards for the development/validation, and staged implementation of AI models, respectively, this article outlines how future implementation should be considered at the outset before model development. Building on lessons from high-performing AI decision support models that faced challenges upon implementation, we will discuss study design consideration for building trustworthy and actionable AI clini",10.1097/TA.0000000000004725,https://pubmed.ncbi.nlm.nih.gov/40604360/,40604360,triPod_AI_era=2024-2025 | overall_calib=0 | subgroup_interval=0 | dual_overlap=0
40536772,An Individualized Prediction Model for Early-Stage Classic Hodgkin's Lymphoma.,Rodday Angie Mae; Evens Andrew M; Maurer Matthew J; Upshaw Jenica N; Counsell Nicholas; Rossetti Sara,NEJM evidence,2025,"A predictive model for early-stage classic Hodgkin's lymphoma (cHL) does not exist. Leveraging patient-level data from large clinical trials and registries, we developed and validated a model that we term the Early-Stage cHL International Prognostication Index (E-HIPI) to predict 2-year progression-free survival (PFS).",10.1056/EVIDoa2500115,https://pubmed.ncbi.nlm.nih.gov/40536772/,40536772,triPod_AI_era=2024-2025 | overall_calib=1 | subgroup_interval=0 | dual_overlap=1
41047269,Development and validation of diagnostic and prognostic prediction tools for dental caries in young children through prospective and cross-sectional observational studies: a protocol.,Khazaei Yeganeh; Kodikara Saritha; Butler Catherine A; Messina Nicole L; Lê Cao Kim-Anh; Dashper Stuart G,BMJ open,2025,"Dental caries is the most common oral disease worldwide, affecting up to 90% of children globally. It can lead to pain, infection and impaired quality of life. Early prevention is a key strategy for reducing the prevalence of dental caries in young children. Valid and reliable diagnostic or prognostic tools that enable accurate individualised prediction of current or future dental caries are essential for facilitating personalised caries prevention and early intervention. However, no efficacious tools currently exist in early childhood-the optimal period for disease prevention. We aim to develop and validate diagnostic and prognostic prediction tools for dental caries in young children, using a combination of environmental, physical, behavioural and biological early life data.",10.1136/bmjopen-2025-105145,https://pubmed.ncbi.nlm.nih.gov/41047269/,41047269,triPod_AI_era=2024-2025 | overall_calib=1 | subgroup_interval=0 | dual_overlap=0
34757383,Systematic review of prediction models for postacute care destination decision-making.,Kennedy Erin E; Bowles Kathryn H; Aryal Subhash,Journal of the American Medical Informatics Association : JAMIA,2021,"This article reports a systematic review of studies containing development and validation of models predicting postacute care destination after adult inpatient hospitalization, summarizes clinical populations and variables, evaluates model performance, assesses risk of bias and applicability, and makes recommendations to reduce bias in future models.",10.1093/jamia/ocab197,https://pubmed.ncbi.nlm.nih.gov/34757383/,34757383,triPod_AI_era=pre-2024 | overall_calib=0 | subgroup_interval=0 | dual_overlap=0
40805252,Application of Artificial Intelligence in Pancreatic Cyst Management: A Systematic Review.,Lee Donghyun; Jesry Fadel; Maliekkal John J; Goulder Lewis; Huntly Benjamin; Smith Andrew M,Cancers,2025,"Pancreatic cystic lesions (PCLs), including intraductal papillary mucinous neoplasms (IPMNs) and mucinous cystic neoplasms (MCNs), pose a diagnostic challenge due to their variable malignant potential. Current guidelines, such as Fukuoka and American Gastroenterological Association (AGA), have moderate predictive accuracy and may lead to overtreatment or missed malignancies. Artificial intelligence (AI), incorporating machine learning (ML) and deep learning (DL), offers the potential to improve risk stratification, diagnosis, and management of PCLs by integrating clinical, radiological, and molecular data. This is the first systematic review to evaluate the application, performance, and clinical utility of AI models in the diagnosis, classification, prognosis, and management of pancreatic ",10.3390/cancers17152558,https://pubmed.ncbi.nlm.nih.gov/40805252/,40805252,triPod_AI_era=2024-2025 | overall_calib=1 | subgroup_interval=0 | dual_overlap=0
41175546,Systematic review of a machine learning model for prediction of venous thromboembolism risk.,Ge Wen-Jing; Zhu Teng-Fei; Ge Wen-Jie; Zhu Xin-Yi; Chu Ai-Qin,Thrombosis research,2025,"This systematic review aims to evaluate the methodological quality, performance, and clinical applicability of machine learning (ML) models for predicting the risk of venous thromboembolism (VTE) in hospitalized patients. Specifically, we aim to assess the methodological quality and reporting transparency of the included studies, with a focus on their risk of bias and adherence to reporting guidelines.",10.1016/j.thromres.2025.109507,https://pubmed.ncbi.nlm.nih.gov/41175546/,41175546,triPod_AI_era=2024-2025 | overall_calib=1 | subgroup_interval=1 | dual_overlap=1
37285695,"Artificial intelligence, big data and heart transplantation: Actualities.",Palmieri Vittorio; Montisci Andrea; Vietri Maria Teresa; Colombo Paolo C; Sala Silvia; Maiello Ciro,International journal of medical informatics,2023,"As diagnostic and prognostic models developed by traditional statistics perform poorly in real-world, artificial intelligence (AI) and Big Data (BD) may improve the supply chain of heart transplantation (HTx), allocation opportunities, correct treatments, and finally optimize HTx outcome. We explored available studies, and discussed opportunities and limits of medical application of AI to the field of HTx.",10.1016/j.ijmedinf.2023.105110,https://pubmed.ncbi.nlm.nih.gov/37285695/,37285695,triPod_AI_era=pre-2024 | overall_calib=0 | subgroup_interval=1 | dual_overlap=1
32448593,Evaluating the quality of reporting of melanoma prediction models.,Jiang Matthew Y; Dragnev Nathalie C; Wong Sandra L,Surgery,2020,Multivariable prediction models combine patient data points to provide actionable estimates of outcomes. Prediction models for melanoma are important for guidance in the midst of the rising incidence and evolving treatment options. This study evaluates the quality of reporting of prediction models using the Transparent Reporting of a Multivariable Prediction Model for Individual Prognosis or Diagnosis (TRIPOD) checklist.,10.1016/j.surg.2020.04.016,https://pubmed.ncbi.nlm.nih.gov/32448593/,32448593,triPod_AI_era=pre-2024 | overall_calib=1 | subgroup_interval=0 | dual_overlap=0
40953036,Risk prediction model for post-endoscopic retrograde cholangiopancreatography pancreatitis: A systematic review and meta-analysis.,Mao Yijun; Liu Qiang; Fan Hui; He Wenjing; Zhang Cheng; Ouyang Xueqian,PloS one,2025,"Post-endoscopic retrograde cholangiopancreatography pancreatitis (PEP) is the most common and clinically significant complication of ERCP, with an incidence of 3.5-9.7% in general populations and up to 14.7% in high-risk groups, leading to considerable morbidity, mortality, and healthcare costs. Although numerous multivariable prediction models have been developed, their predictor sets, methodological rigor, and clinical applicability remain highly variable.",10.1371/journal.pone.0332378,https://pubmed.ncbi.nlm.nih.gov/40953036/,40953036,triPod_AI_era=2024-2025 | overall_calib=1 | subgroup_interval=1 | dual_overlap=0
42667902,"Data-centric, robust, and explainable multimodal deep learning for clinical decision support: A systematic review.",Islam Md Mazharul; Tanzim Alam Abrar Mohammed; Rahman Rony Md Sadikur; Das Susmay,International journal of medical informatics,2026,"Multimodal deep learning is increasingly proposed for clinical decision support (CDS) under a """"data-centric"""" framing that prioritizes label quality, missing-modality robustness, distribution shift, calibration, and explainability. Prior reviews have examined multimodal medical AI, CDS, and data-centric methods separately, but none address their intersection. We mapped the modalities, fusion strategies, and data-centric and explainability techniques used in this recent literature, quantified how often each is implemented rather than merely mentioned, assessed deployment-relevant evidence (external validation, clinical-outcome measurement, equity), and formally appraised study-level risk of bias.",10.1016/j.ijmedinf.2026.106684,https://pubmed.ncbi.nlm.nih.gov/42667902/,42667902,triPod_AI_era=2024-2025 | overall_calib=0 | subgroup_interval=0 | dual_overlap=0
41561680,Development and validation of predictive models for 6-month gastrostomy timing in amyotrophic lateral sclerosis.,Lizio Andrea; Lops Jessica; Farè Matteo; Pezzera Sharon; Piras Rachele; Sideri Riccardo,BMJ neurology open,2026,"Dysphagia is common in amyotrophic lateral sclerosis (ALS), contributing to malnutrition and accelerated disease progression. Although early nutritional intervention is recommended, the optimal timing for percutaneous endoscopic gastrostomy (PEG) placement remains uncertain. This study aimed to develop and validate simple prediction models, accessible via an online calculator, to identify ALS patients likely to require PEG within 6 months.",10.1136/bmjno-2025-001336,https://pubmed.ncbi.nlm.nih.gov/41561680/,41561680,triPod_AI_era=2024-2025 | overall_calib=1 | subgroup_interval=0 | dual_overlap=0
40623883,Development and retrospective validation of an artificial intelligence system for diagnostic assessment of prostate biopsies: study protocol.,Mulliqi Nita; Blilie Anders; Ji Xiaoyi; Szolnoky Kelvin; Olsson Henrik; Titus Matteo,BMJ open,2025,"Histopathological evaluation of prostate biopsies using the Gleason scoring system is critical for prostate cancer diagnosis and treatment selection. However, grading variability among pathologists can lead to inconsistent assessments, risking inappropriate treatment. Similar challenges complicate the assessment of other prognostic features like cribriform cancer morphology and perineural invasion. Many pathology departments are also facing an increasingly unsustainable workload due to rising prostate cancer incidence and a decreasing pathologist workforce coinciding with increasing requirements for more complex assessments and reporting. Digital pathology and artificial intelligence (AI) algorithms for analysing whole slide images show promise in improving the accuracy and efficiency of h",10.1136/bmjopen-2024-097591,https://pubmed.ncbi.nlm.nih.gov/40623883/,40623883,triPod_AI_era=2024-2025 | overall_calib=1 | subgroup_interval=0 | dual_overlap=0
41939888,Development and validation of a diagnostic nomogram integrating anatomical scores and systemic immune-inflammatory biomarkers for,Chen Xu; Liu Yucheng; Wang Tianyu; Liu Disheng; Chang Pengcheng; Liu Nianjun,Frontiers in immunology,2026,"At initial diagnosis, approximately 30% of renal cell carcinoma (RCC) patients have",10.3389/fimmu.2026.1747057,https://pubmed.ncbi.nlm.nih.gov/41939888/,41939888,triPod_AI_era=2024-2025 | overall_calib=0 | subgroup_interval=0 | dual_overlap=0
40829629,Machine Learning in Venous Thromboembolism-Why and What Next?,Gurumurthy Gerard; Kisiel Filip; Reynolds Lianna; Thomas Will; Othman Maha; Arachchillage Deepa J,Seminars in thrombosis and hemostasis,2026,"Venous thromboembolism (VTE) remains a leading cause of cardiovascular morbidity and mortality, despite advances in imaging and anticoagulation. VTE arises from diverse and overlapping risk factors, such as inherited thrombophilia, immobility, malignancy, surgery or trauma, pregnancy, hormonal therapy, obesity, chronic medical conditions (e.g., heart failure, inflammatory disease), and advancing age. Clinicians, therefore, face challenges in balancing the benefits of thromboprophylaxis against the bleeding risk. Existing clinical risk scores often exhibit only modest discrimination and calibration across heterogeneous patient populations. Machine learning (ML) has emerged as a promising tool to address these limitations. In imaging, convolutional neural networks and hybrid algorithms can d",10.1055/a-2669-7933,https://pubmed.ncbi.nlm.nih.gov/40829629/,40829629,triPod_AI_era=2024-2025 | overall_calib=1 | subgroup_interval=0 | dual_overlap=1
34981135,Quality assessment of radiomics research in cardiac CT: a systematic review.,Lee Suji; Han Kyunghwa; Suh Young Joo,European radiology,2022,To assess the quality of current radiomics research on cardiac CT using radiomics quality score (RQS) and Transparent Reporting of a multivariable prediction model for Individual Prognosis Or Diagnosis (TRIPOD) systems.,10.1007/s00330-021-08429-0,https://pubmed.ncbi.nlm.nih.gov/34981135/,34981135,triPod_AI_era=pre-2024 | overall_calib=1 | subgroup_interval=0 | dual_overlap=0
32680829,Risk Prediction Models for Kidney Cancer: A Systematic Review.,Harrison Hannah; Thompson Rachel E; Lin Zhiyuan; Rossi Sabrina H; Stewart Grant D; Griffin Simon J,European urology focus,2021,"Early detection of kidney cancer improves survival; however, low prevalence means that population-wide screening may be inefficient. Stratification of the population into risk categories could allow for the introduction of a screening programme tailored to individuals.",10.1016/j.euf.2020.06.024,https://pubmed.ncbi.nlm.nih.gov/32680829/,32680829,triPod_AI_era=pre-2024 | overall_calib=0 | subgroup_interval=0 | dual_overlap=0
32600262,A conceptual framework for prognostic research.,Kent Peter; Cancelliere Carol; Boyle Eleanor; Cassidy J David; Kongsted Alice,BMC medical research methodology,2020,"Prognostic research has many important purposes, including (i) describing the natural history and clinical course of health conditions, (ii) investigating variables associated with health outcomes of interest, (iii) estimating an individual's probability of developing different outcomes, (iv) investigating the clinical application of prediction models, and (v) investigating determinants of recovery that can inform the development of interventions to improve patient outcomes. But much prognostic research has been poorly conducted and interpreted, indicating that a number of conceptual areas are often misunderstood. Recent initiatives to improve this include the Prognosis Research Strategy (PROGRESS) and the Transparent Reporting of a multivariable prediction model for Individual Prognosis o",10.1186/s12874-020-01050-7,https://pubmed.ncbi.nlm.nih.gov/32600262/,32600262,triPod_AI_era=pre-2024 | overall_calib=1 | subgroup_interval=0 | dual_overlap=0
40589901,Development and validation of a diagnostic prediction model for heart failure-related pleural effusions: the BANCA score.,Porcel José M; Trujillano Javier; Porcel Laura; Esquerda Aureli; Bielsa Silvia,ERJ open research,2025,"Heart failure (HF) is a common cause of pleural effusion (PE); however, its diagnosis can be challenging owing to overlapping clinical features with other causes. Measuring N-terminal pro-brain natriuretic peptide (NT-proBNP) levels is diagnostically useful, but the optimal cut-off point must be determined. This study aimed to optimise NT-proBNP cut-offs for diagnosing HF-related PEs and develop a scoring model to improve diagnostic precision.",10.1183/23120541.01030-2024,https://pubmed.ncbi.nlm.nih.gov/40589901/,40589901,triPod_AI_era=2024-2025 | overall_calib=1 | subgroup_interval=1 | dual_overlap=0
38736145,Development and validation of a nomogram for predicting high-burnout risk in nurses.,Ning Meng; Chen Zengyu; Yang Jiaxin; Li Xuting; Yu Qiang; Huang Chongmei,Journal of clinical nursing,2025,To develop a predictive model for high-burnout of nurses.,10.1111/jocn.17210,https://pubmed.ncbi.nlm.nih.gov/38736145/,38736145,triPod_AI_era=2024-2025 | overall_calib=0 | subgroup_interval=0 | dual_overlap=0
41258421,Construction and validation of a risk prediction model for complications in patients with acute leukemia based on machine learning.,Xu Rong; Tian Hong; Zhao Sufang; Gu Shulan,Scientific reports,2025,"Early-phase severe complications remain a major cause of morbidity and mortality during induction chemotherapy for acute leukaemia. Existing risk scores capture only limited prognostic variance and are rarely well-calibrated for clinical decision support. To develop and externally validate a machine-learning model that accurately predicts severe complications after induction, and to assess its clinical utility across key patient sub-groups. We retrospectively assembled electronic-health-record data from three tertiary haematology centres (2013-2024). After exclusion of duplicates and predefined ineligible cases, 2 870 adults with newly diagnosed AML or ALL were analysed (derivation = 2 009; external validation = 861). Forty-two candidate predictors spanning demographics, comorbidity indice",10.1038/s41598-025-24478-7,https://pubmed.ncbi.nlm.nih.gov/41258421/,41258421,triPod_AI_era=2024-2025 | overall_calib=1 | subgroup_interval=0 | dual_overlap=0
