pmid,title,journal,year,overall_calib_reported,overall_calib_slope_CI_reported,overall_calib_plot_band,subgroup_calib_reported_any,subgroup_stratifiers,subgroup_interval_aware,subgroup_point_only,subgroup_slope_CI_per_stratifier,masking_overall_pass_subgroup_fail,masking_definition,triPod_AI_era,PROBAST_overall,extraction_reviewer,dual_overlap_flag,adjudication_note,rayyan_label,Wilson_p_interval_aware_stub,notes
32479165,Transparent Reporting of Multivariable Prediction Models in Journal and Conference Abstracts: TRIPOD for Abstracts.,Annals of internal medicine,2020,1,0,0,0,,1,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),pre-2024,low,adjudicated,1,agree,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
38783054,Individualized prediction models in ADHD: a systematic review and meta-regression.,Molecular psychiatry,2024,0,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,high,adjudicated,1,agree,exclude,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
41473241,Development and external validation of machine-learning based models to predict diabetic foot ulcer in diabetes population.,Frontiers in endocrinology,2025,1,1,1,1,PROGRESS_other;race_ethnicity,0,1,PROGRESS_other;race_ethnicity:CI=no,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,high,R1,0,,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
40620096,A practical guide for nephrologist peer reviewers: evaluating artificial intelligence and machine learning research in nephrology.,Renal failure,2025,1,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,high,R1,0,,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
36750236,Transparent reporting of multivariable prediction models developed or validated using clustered data (TRIPOD-Cluster): explanation and elaboration.,BMJ (Clinical research ed.),2023,0,0,0,0,,1,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),pre-2024,high,adjudicated,1,agree,exclude,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
38226447,Systematic review of machine-learning models in orthopaedic trauma.,Bone & joint open,2024,1,1,1,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,high,R1,0,,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
40964606,Development of an optimized risk evaluation system for cardiovascular-kidney-metabolic syndrome-associated coronary heart disease based on tabular prior-data fitted network.,Digital health,2025,1,0,0,1,deprivation,1,1,deprivation:CI=yes,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,high,adjudicated,1,"R1=0 R2=1 -> adjudicated 1 (plot band ambiguous, Riley band counted per protocol)",include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
32552702,Early warning score validation methodologies and performance metrics: a systematic review.,BMC medical informatics and decision making,2020,0,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),pre-2024,high,R1,0,,exclude,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
32278089,Development and validation of early warning score system: A systematic literature review.,Journal of biomedical informatics,2020,1,1,1,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),pre-2024,high,adjudicated,1,agree,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
40059970,Evaluation of prognostic scores in patients with HCC undergoing first-line immunotherapy with atezolizumab and bevacizumab.,JHEP reports : innovation in hepatology,2025,1,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,high,R1,0,,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
40604360,Artificial intelligence in surgery research: Successfully implementing AI clinical decision support models.,The journal of trauma and acute care surgery,2025,0,0,0,1,sex,0,1,sex:CI=no,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,high,R1,0,,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
40536772,An Individualized Prediction Model for Early-Stage Classic Hodgkin's Lymphoma.,NEJM evidence,2025,1,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,unclear,adjudicated,1,agree,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
41047269,Development and validation of diagnostic and prognostic prediction tools for dental caries in young children through prospective and cross-sectional observational studies: a protocol.,BMJ open,2025,1,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,high,R1,0,,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
34757383,Systematic review of prediction models for postacute care destination decision-making.,Journal of the American Medical Informatics Association : JAMIA,2021,0,0,0,0,,1,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),pre-2024,high,adjudicated,1,agree,exclude,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
40805252,Application of Artificial Intelligence in Pancreatic Cyst Management: A Systematic Review.,Cancers,2025,1,1,1,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,low,R1,0,,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
41175546,Systematic review of a machine learning model for prediction of venous thromboembolism risk.,Thrombosis research,2025,1,0,0,1,PROGRESS_other;race_ethnicity,1,0,PROGRESS_other;race_ethnicity:CI=yes,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,high,adjudicated,1,agree,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
37285695,Artificial intelligence; big data and heart transplantation: Actualities.,International journal of medical informatics,2023,0,0,0,0,,1,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),pre-2024,low,adjudicated,1,agree,exclude,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
32448593,Evaluating the quality of reporting of melanoma prediction models.,Surgery,2020,1,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),pre-2024,high,R1,0,,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
40953036,Risk prediction model for post-endoscopic retrograde cholangiopancreatography pancreatitis: A systematic review and meta-analysis.,PloS one,2025,1,1,1,1,PROGRESS_other,1,0,PROGRESS_other:CI=yes,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,high,R1,0,,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
42667902,Data-centric; robust; and explainable multimodal deep learning for clinical decision support: A systematic review.,International journal of medical informatics,2026,0,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,high,adjudicated,1,agree,exclude,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
41561680,Development and validation of predictive models for 6-month gastrostomy timing in amyotrophic lateral sclerosis.,BMJ neurology open,2026,1,0,0,1,site;race_ethnicity,0,1,site;race_ethnicity:CI=no,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,low,R1,0,,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
40623883,Development and retrospective validation of an artificial intelligence system for diagnostic assessment of prostate biopsies: study protocol.,BMJ open,2025,1,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,low,R1,0,,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
41939888,Development and validation of a diagnostic nomogram integrating anatomical scores and systemic immune-inflammatory biomarkers for De Novo metastatic renal cell carcinoma: a single-center; retrospective study (2016-2025).,Frontiers in immunology,2026,0,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,high,R1,0,,exclude,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
40829629,Machine Learning in Venous Thromboembolism-Why and What Next?,Seminars in thrombosis and hemostasis,2026,1,0,0,1,PROGRESS_other;race_ethnicity,0,0,PROGRESS_other;race_ethnicity:CI=no,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,low,adjudicated,1,agree,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
34981135,Quality assessment of radiomics research in cardiac CT: a systematic review.,European radiology,2022,1,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),pre-2024,low,R1,0,,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
32680829,Risk Prediction Models for Kidney Cancer: A Systematic Review.,European urology focus,2021,0,0,0,1,age_decile,1,1,age_decile:CI=yes,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),pre-2024,low,adjudicated,1,agree [NEW final 12],include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
32600262,A conceptual framework for prognostic research.,BMC medical research methodology,2020,1,1,1,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),pre-2024,high,adjudicated,1,agree [NEW final 12],include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
40589901,Development and validation of a diagnostic prediction model for heart failure-related pleural effusions: the BANCA score.,ERJ open research,2025,1,0,0,1,age_decile,1,0,age_decile:CI=yes,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,high,R1,0,,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
38736145,Development and validation of a nomogram for predicting high-burnout risk in nurses.,Journal of clinical nursing,2025,0,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,high,R1,0,,exclude,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
41258421,Construction and validation of a risk prediction model for complications in patients with acute leukemia based on machine learning.,Scientific reports,2025,1,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,high,R1,0,,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
37208863,Implementation frameworks for end-to-end clinical AI: derivation of the SALIENT framework.,Journal of the American Medical Informatics Association : JAMIA,2023,1,1,1,1,sex,1,0,sex:CI=yes,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),pre-2024,high,adjudicated,1,"R1=0 R2=1 -> adjudicated 1 (plot band ambiguous, Riley band counted per protocol)",include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
40830779,Development and validation of a decision tree model for prediction of insomnia risk among ischemic stroke convalescence patients.,BMC public health,2025,0,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,unclear,R1,0,,exclude,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
40938905,Integration of wearable devices and artificial intelligence in Alzheimer's disease: A scoping review protocol.,PloS one,2025,1,0,0,1,sex;deprivation,1,0,sex;deprivation:CI=yes,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,high,R1,0,,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
39888094,Development and Validation of a Prediction Model for Enteral Feeding Intolerance in Critical Ill Patients: A Retrospective Cohort Study.,Journal of clinical nursing,2025,1,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,low,R1,0,,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
36878154,Quality assessment of stroke radiomics studies: Promoting clinical application.,European journal of radiology,2023,0,0,0,1,PROGRESS_other,1,0,PROGRESS_other:CI=yes,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),pre-2024,low,adjudicated,1,"R1=0 R2=1 -> adjudicated 1 (plot band ambiguous, Riley band counted per protocol) [NEW final 12]",include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
41085202,Performance of diabetes risk prediction models: a systematic review and meta-analysis.,Endocrine connections,2025,1,0,0,1,PROGRESS_other;comorbidity,0,1,PROGRESS_other;comorbidity:CI=no,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,low,R1,0,,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
40725875,Risk prediction models for heart failure after myocardial infarction: A systematic review.,Medicine,2025,1,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,high,R1,0,,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
34513751,Reporting and Performance of Hepatocellular Carcinoma Risk Prediction Models: Based on TRIPOD Statement and Meta-Analysis.,Canadian journal of gastroenterology & hepatology,2021,0,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),pre-2024,high,R1,0,,exclude,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
